(0) Index,(1) INDICATOR (n),"(2) INDICATOR QUALITY (3) (g, y, r)",(3) DATASETS AVAILABLE (Hyperlink),"(4) PBSB CATEGORY (5) ((1, 2, 3, 4, 5))",(5) WB CATEGORY (Theme),"(6) INDICATOR TYPE (2) (SbPb, Ops)",(7) INDICATOR COUNTRY (or region)(n=129 (incl 7 regions) (193),(8) INDICATOR SOURCE,(9) COMMENTS (n),(10) Notes,,,,,,,
1077,"Roads rehabilitated, non rural (km) ",, Rehabilitate main roads/feeder roads/urban roads,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1078,"Roads maintained, rural (kms)",, Maintain main roads/feeder roads/urban roads,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1079,"Roads maintained, non rural (kms)",, Maintain main roads/feeder roads/urban roads,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1080,Roads in good and fair conditions (%) ,, Improved condition of road network,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1081,Average operating vehicle speed (km/h),, Improved condition of road network,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1082,Road density (kms of roads/1000 km2),, Improved geographical coverage of road network,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1083, Road density (kms of roads/person),, Improved geographical coverage of road network,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1084,Rural population with access to an all-season road (%) ,, Improved connectivity,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1085,Average time for households to reach [specific] services/markets from home (minutes),, Improved connectivity,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1086,Average transport time [between 2 specific points] (minutes),, Improved connectivity,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1087,Weighted average of total time in days from moment of ship readiness to unload to final destination for an imported container (standard 20-foot TEU) [subject to road/corridor specificities],, Improved connectivity,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1088,Annual vehicle operating costs (LCU),, Improved connectivity,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1089,Fares for transport routes (LCU),, Improved connectivity,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1090,Vehicles per day at selected traffic spots (number),, Improved connectivity,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1091,Prioritized road development and maintenance program developed (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1092,Integrated transport plan developed (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1093,Roads database developed and updated (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1094,"Staff trained in planning, budgeting, financing [specific areas ] (number)",,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1095,Road fund established (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1096,Output-based contracts signed (number),, Strengthen incentives for performance-based road construction /rehabilitation /maintenance,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/framework, Result chain: Roads,,,,,,,
1097,Plan for private sector engagement in maintenance/rehabilitation/ developed (yes/no,, Strengthen incentives for performance-based road construction /rehabilitation /maintenance,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/framework, Result chain: Roads,,,,,,,
1098,Sector investments achieved according to plan (%),,,5,Transportation,,n/a,"WB; Improved planning, financing and management of road sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1099,Road maintenance budget / total road maintenance needs (%),,,5,Transportation,,n/a,"WB; Improved planning, financing and management of road sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1100,Road Fund revenue (LCU),,,5,Transportation,,n/a,"WB; Improved planning, financing and management of road sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1101,Unit costs of construction (LCU per km),,,5,Transportation,,n/a,"WB; Improved planning, financing and management of road sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1102, Unit cost of maintenance (LCU per km),,,5,Transportation,,n/a,"WB; Improved planning, financing and management of road sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1103,Average delay in contractor payment (days),,,5,Transportation,,n/a,"WB; Improved planning, financing and management of road sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1104,Maintenance work (in value terms) contracted on a competitive basis to private contractors (%),,,5,Transportation,,n/a,"WB; Improved planning, financing and management of road sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1105,Private contractors involved in maintenance program (number),,,5,Transportation,,n/a,"WB; Improved planning, financing and management of road sector; Institutional Development of Ministry/Regulator/framework; Result chain: Roads",,,,,,,,,
1106,Beneficiaries of public works program (number) ,, Increased employment in road construction/maintenance,4,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/framework, Result chain: Roads,,,,,,,
1107,Person days provided in labor-intensive public work (number),, Increased employment in road construction/maintenance,4,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/framework, Result chain: Roads,,,,,,,
1108,National Road Safety Strategy developed (yes/no),, Develop capacity to manage Road Safety issues,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1109,Black spot treatment program developed (yes/no),, Develop capacity to manage Road Safety issues,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1110,Monitoring and evaluation framework for road accidents established (yes/no),, Develop capacity to manage Road Safety issues,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1111,Driver training and testing program established (yes/no),, Develop capacity to manage Road Safety issues,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1112,Road Safety campaigns undertaken (number),, Raise awareness about Road Safety issues,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1113,Road Safety education program implemented (yes/no),, Raise awareness about Road Safety issues,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1114,Blackspots identified that have been addressed (%),, Improved Road Safety management,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1115,Traffic exceeding posted speed limits (%),, Improved Road Safety behavior,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1116,Motorcycle riders wearing helmets (%),, Improved Road Safety behavior,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1117,Commercial vehicle operators licensed (%),, Improved Road Safety behavior,5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1118,Road accidents per 1000 population (number),, Improved Road Safety (on targeted roads),5,Transportation,,n/a,WB, Road Safety, Result chain: Roads,,,,,,,
1119,Improved community water points constructed or rehabilitatedunder the project (number),, Construct/rehabilitate socio-economic infrastructure,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1120,"Health facilities constructed, renovated, or equipped (number)",, Construct/rehabilitate socio-economic infrastructure,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1121,Classrooms built and/or rehabilitated (number),, Construct/rehabilitate socio-economic infrastructure,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1122,"Roads rehabilitated, rural (km)",, Construct/rehabilitate socio-economic infrastructure,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1123,"Roads constructed, rural (km) ",, Construct/rehabilitate socio-economic infrastructure,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1124,Markets constructed (number),, Construct/rehabilitate socio-economic infrastructure,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1125,Student/classroom ratio,, Improved availability of basic infrastructure,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1126,Health facilities meeting minimum infrastructure quality standards (number),, Improved availability of basic infrastructure,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1127,"Sub-project schemes completed according to design and within time frame (number, %)",, Improved availability of basic infrastructure,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1128,Health workers hired (number),, Hire/redeploy and train service providers,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1129,School teachers hired (number),, Hire/redeploy and train service providers,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1130,Health personnel receiving trainings (number),, Hire/redeploy and train service providers,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
1131,Teachers trained to minimum qualifications and certification requirements (number) (appears as Decline in shortfall of qualified teachers at primary level (%) ,, Hire/redeploy and train service providers,5,Rural Development,,n/a,WB, Infrastructure Development, Results Chain: Rural Access to Basic Services,,,,,,,
